language,country,keyword,source,search_volume,volume_type,seo_competition,advertiser_competition,cpc,conversion_from,conversion_to,search_intent,priority,serp_notes,status
id,ID,ubah heic ke jpg online gratis,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-to-medium: 9/9 localized pages but all international converter brands (img2go, canva, iloveimg/id, pdf24/id, freeconvert/id, anyconv, xodo, insmind, cleverpdf)",unavailable,unavailable,heic,jpg,transactional-tool,high,Pattern 'X ke Y' + 'ubah'/'konversi'/'online gratis' confirmed in 6 competitor titles. Indonesian pages also ranked for the Malay query.,IMPLEMENT
id,ID,webp ke jpg,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,medium: localized brand pages + small local tool se-hari.com in top 9,unavailable,unavailable,webp,jpg,transactional-tool,high,Local small site ranks -> SERP not locked by brands.,IMPLEMENT
id,ID,webp ke png,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"medium: pdf24/id, convertio, freeconvert, chrome ext, se-hari.com (local); 3 English pages",unavailable,unavailable,webp,png,transactional-tool,medium,Local small site ranks again.,IMPLEMENT
id,ID,heic ke png,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: 0 Indonesian pages in the observed top 9 (all English: cloudinary, cloudconvert, imagekit, canva, picflow, freeconvert, heic2png, heiccon, adobe)",unavailable,unavailable,heic,png,transactional-tool,high,Clear localization gap.,IMPLEMENT
id,ID,ubah heic ke pdf,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: smallpdf/id heic-ke-pdf, adobe id, freeconvert id, canva, xodo, anyconv",unavailable,unavailable,heic,pdf,transactional-tool,medium,Saturated but reusable page; implemented because HEIC->PDF is a common iPhone document workflow and completes the HEIC cluster.,IMPLEMENT
id,ID,avif ke jpg,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak-to-medium: 4 English pages, chrome extension, convertio, 3dpea, imageresizer, imagetostl",unavailable,unavailable,avif,jpg,transactional-tool,medium,Mixed EN/ID results.,IMPLEMENT
id,ID,pdf ke jpg online,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: smallpdf/id pdf-ke-jpg, adobe id, ilovepdf/id pdf-ke-jpg, pdf2go, 11zon, sejda",unavailable,unavailable,pdf,jpg,transactional-tool,medium,Brands use slug pdf-ke-jpg; hard SERP; implemented for cluster completeness and internal linking.,IMPLEMENT
id,ID,jpg ke pdf,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"strong: ilovepdf/id, smallpdf/id, adobe id, dropbox id, pdf2go, imagetotext",unavailable,unavailable,jpg,pdf,transactional-tool,medium,Hard SERP; one spammy blog also ranks.,IMPLEMENT
id,ID,ubah srt ke vtt,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: only one exact-match converter page (subformer id-ID); rest are hubs, a blog, a Google Translate proxy page and two Wikipedia disambiguation pages",unavailable,unavailable,srt,vtt,transactional-tool,high,Intent poorly served.,IMPLEMENT
id,ID,vtt ke srt,WebSearch tool (US-located index) 2026-09-25,unavailable,unavailable,"weak: 0 Indonesian pages; English tools, a GitHub repo and Wikipedia",unavailable,unavailable,vtt,srt,transactional-tool,high,Intent poorly served.,IMPLEMENT
