keyword,approx_us_volume_month,cpc_usd,source_or_note,priority
jpg to pdf,201000,1.73,Google Ads data via seodata.dev updated 2026-05-25,P0
images to pdf,60500,1.31,Related intent in same Google Ads dataset,P0
convert jpg to pdf,49500,1.63,Related intent in same Google Ads dataset,P0
pic to pdf converter,22200,2.47,Related intent in same Google Ads dataset,P0
pdf to png,74000,1.10,DataForSEO-based July 2026 research via Fast.io,P0
webp to jpg,110000,0.19,DataForSEO-based July 2026 research via Fast.io,P0
webp to png,165000,0.02,Current competitor keyword panel / third-party datasets,P0
heic to jpg,246000,0.03,Current Semrush competitor panel / DataForSEO-based research,P0
mp4 to gif,90500,4.05,Google Ads data via seodata.dev related keyword,P2
convert mp4 to gif,8100,3.46,Google Ads data via seodata.dev updated 2026-05-21,P2
mp4 to gif converter,6600,2.38,Google Ads data via seodata.dev updated 2026-05-15,P2
csv to json,4400,10.10,Google Ads data via seodata.dev,P0
csv to json conversion,2900,6.96,Google Ads data via seodata.dev,P0
convert a csv to json,1600,5.23,Google Ads data via seodata.dev,P0
csv to json converter,880,10.63,Google Ads data via seodata.dev,P0
avif to jpg,110000,0.01,India keyword panel; validate target country before use,P0
avif to png,33100,0.01,India keyword panel; validate target country before use,P0
png to webp,74000,0.04,India keyword panel; validate target country before use,P0
jpg to webp,40500,0.04,India keyword panel; validate target country before use,P0
word to pdf,135000,0.02,Bangladesh Semrush snapshot; country-specific, P1
word to pdf converter,49500,0.02,Bangladesh Semrush snapshot; country-specific,P1
pdf converter,1220000,0.87,US Semrush/current keyword panel,Do not target first
video converter,673000,0.76,US Semrush/current keyword panel,Do not target first
mp3 converter,550000,1.01,US Semrush/current keyword panel,Do not target first
